FattyAcid,F3E_A,F3E_B,F3E_C,F3E_D,F3E_E,F3E_F,F3E_G,F3E_H,F3E_I,F3E_J,F2E_A,F2E_B,F2E_C,F2E_D,F2E_E,F2E_F,F2E_G,F2E_H,F2E_I,F2E_J,F1E_A,F1E_B,F1E_C,F1E_D,F1E_E,F1E_F,F1E_G,F1E_H,F1E_I,F1E_J
C18:0,10703,12603,7461,-6503,1347,-7022,9018,9085,-3589,-6389,71713,113354,94300,470694,340217,131037,364203,352728,-31277,2675,-2977,-2153,2624,256,-349,771,2003,4899,2170,-3261
C18:0,-3060,-2834,6719,-6051,-6053,3005,-186,1160,-448,1638,-47755,-92554,-83638,-152022,2262,-40561,-112685,308894,-142203,42060,-5158,-1792,-487,2955,-1560,2462,1888,-1741,-1829,-139
C18:0,-16373,2723,9354,-53336,-26176,-45408,14152,-37653,-23395,-20809,-278352,-328911,-222425,-322171,-314977,-375403,-349627,-376695,74361,-250764,-1424,-401,3316,3831,-33,2631,-333,1776,1448,-230
C18:2n6,-8738,1965,14605,-19935,40965,42781,1830,-184,26678,-196,4398,-10571,-8186,1216,-15010,-2010,1996,92,-1856,3184,5105,3764,1724,4674,4215,4655,6189,6088,8551,4492
C18:2n6,-11329,-13658,-12867,-12180,-10587,-5811,-10137,-3058,37954,-2081,-14981,-19073,-6019,941,299,-2134,-2068,5362,3277,90,-369,1449,-372,611,5796,1412,2287,3239,441,-1285
C18:2n6,-9826,-2193,-6713,16433,-23070,-3892,42897,-11747,-13384,1916,-13646,-5474,301,-960,1856,3312,2551,5470,3519,-3082,3085,-1662,-2685,3251,8386,779,4649,3359,447,533
C18:1n9,5864,17923,21291,9162,-16,5070,15795,13880,27031,22856,783,1078,4122,5825,13782,3104,14940,8704,10256,13109,792,3267,-629,82,3057,598,969,2085,3739,-1434
C18:1n9,3373,2960,-10582,6011,11613,12574,21604,11287,-12723,-4617,11396,14557,5420,1114,2062,4907,11064,9811,4191,2218,-4874,-6876,-7490,-4599,-5823,-3159,-1580,-2209,-3993,-2773
C18:1n9,-13677,-15818,-13822,-15342,-7546,-35411,-2969,36374,-3604,43080,6123,798,908,2270,7298,17939,9920,10095,5831,3681,-7465,-1138,-8709,-4000,-6000,-2348,-3576,-1601,-1783,-3197
C16:0,-732,-5756,7391,-10795,-8975,-12256,9733,-5154,3215,2336,9199,5302,10662,4765,5652,5747,8193,-871,1147,1506,11124,9092,5371,2322,1770,2018,3266,3421,3371,1026
C16:0,-9644,-17113,39185,-8906,-32632,34283,-1114,3300,-421,-30323,9103,3169,2673,4514,-1555,7488,12443,3167,4849,2180,1059,2728,-3691,-2345,-5292,-1229,144,-2197,-558,2095
C16:0,-4283,-2111,8988,11517,-12544,-2643,-24589,-15629,1446,8245,17083,5371,94624,6651,4546,9830,29183,11139,6146,3161,7836,1073,72,1034,840,1520,4796,4203,3379,-1793
